EMDB ID,Entry ID,Chain ID,Coverage Deposited,Sequence Match Deposited,Coverage CryoTEN,Sequence Match CryoTEN
7076,6BBM,A,30.1,9.0,47.2,8.9
7076,6BBM,F,52.5,2.6,68.8,7.1
7076,6BBM,D,34.9,11.3,51.0,19.8
7076,6BBM,E,60.4,9.5,71.8,8.6
7076,6BBM,C,33.6,5.3,53.9,7.8
7076,6BBM,B,36.2,5.6,44.1,4.6
26831,7UWF,A,82.0,63.5,90.0,80.3
26831,7UWF,D,74.8,66.8,85.7,80.9
26831,7UWF,B,79.8,9.0,84.8,7.2
11743,7AEB,R,96.4,72.4,95.1,82.2
11743,7AEB,A,69.2,6.8,80.0,7.7
11743,7AEB,F,65.8,68.4,75.2,73.6
11743,7AEB,D,72.3,58.9,74.3,67.6
11743,7AEB,W,91.0,83.5,94.7,56.3
11743,7AEB,S,92.5,78.0,95.5,78.0
11743,7AEB,b,96.6,84.3,73.8,50.5
11743,7AEB,d,95.9,74.1,95.9,83.5
11743,7AEB,E,65.4,78.0,80.5,75.6
11743,7AEB,p,67.4,81.1,69.5,46.9
11743,7AEB,j,55.9,60.1,77.4,64.7
11743,7AEB,K,64.9,68.4,84.6,65.7
11743,7AEB,k,66.7,57.4,53.2,68.0
11743,7AEB,l,65.2,34.8,66.7,37.2
11743,7AEB,G,62.3,65.4,80.1,56.5
11743,7AEB,C,73.6,60.6,84.0,66.6
11743,7AEB,Q,94.2,70.3,91.6,55.8
11743,7AEB,e,63.8,70.8,75.1,64.2
11743,7AEB,o,64.5,83.5,67.4,61.1
11743,7AEB,T,91.0,86.0,96.2,46.9
11743,7AEB,Y,96.6,77.9,97.9,59.2
11743,7AEB,i,58.0,72.4,66.4,77.2
11743,7AEB,B,67.6,79.2,79.1,63.4
11743,7AEB,H,60.7,59.6,82.5,59.6
11743,7AEB,U,94.7,81.7,93.2,87.9
11743,7AEB,O,91.6,75.2,84.0,83.1
11743,7AEB,I,68.5,50.6,81.1,59.6
11743,7AEB,m,68.8,69.1,71.6,71.3
11743,7AEB,P,78.7,81.9,95.1,55.1
11743,7AEB,h,64.4,76.8,80.9,73.4
11743,7AEB,a,94.5,79.6,98.6,60.8
11743,7AEB,J,64.1,56.0,82.6,57.7
11743,7AEB,c,96.6,75.0,97.2,62.4
11743,7AEB,Z,97.9,64.8,98.6,87.4
11743,7AEB,N,95.6,89.3,98.7,82.0
11743,7AEB,L,65.2,51.3,81.0,65.7
11743,7AEB,X,92.5,81.3,91.7,61.5
11743,7AEB,n,57.4,63.0,60.3,62.4
11743,7AEB,V,90.2,87.5,91.7,86.9
11743,7AEB,g,63.5,76.9,83.5,71.1
11743,7AEB,M,94.2,71.2,92.9,75.1
11743,7AEB,f,53.7,61.9,75.7,77.2
27630,8DP5,A,78.4,52.3,81.7,87.5
27630,8DP5,D,91.3,57.3,96.1,93.2
27630,8DP5,C,83.0,58.1,95.7,78.6
27630,8DP5,B,41.2,36.2,55.8,34.8
23092,7KZX,A,41.6,10.3,25.6,2.8
23092,7KZX,F,34.9,11.0,59.8,8.0
23092,7KZX,D,23.9,8.0,49.3,4.9
23092,7KZX,E,33.5,12.5,69.6,5.3
23092,7KZX,C,22.6,7.0,58.4,6.3
23092,7KZX,B,63.0,7.3,22.8,4.7
13456,7PK9,A,80.6,68.7,88.3,69.8
13456,7PK9,F,92.7,87.4,89.8,83.8
13456,7PK9,D,83.5,39.0,84.5,83.9
13456,7PK9,E,89.3,61.4,89.8,75.7
13456,7PK9,G,83.0,51.5,89.8,87.0
13456,7PK9,C,85.4,52.8,92.7,78.5
13456,7PK9,B,90.8,69.0,82.0,75.1
13456,7PK9,H,84.5,48.3,78.2,49.7
13456,7PK9,I,82.5,41.8,72.3,49.7
13456,7PK9,J,70.9,39.7,89.8,8.6
13867,7Q97,A,45.9,19.5,62.6,28.7
13867,7Q97,B,52.2,28.9,74.1,22.7
31970,7VGI,A,64.4,14.6,71.3,61.0
31970,7VGI,B,69.8,32.7,80.6,70.5
0723,6KNB,A,30.4,5.1,33.8,5.3
0723,6KNB,D,25.3,3.2,24.1,16.7
0723,6KNB,E,7.6,10.5,31.3,5.1
0723,6KNB,C,26.5,6.1,31.3,9.0
0723,6KNB,B,13.8,4.5,12.4,4.3
10497,6TGB,A,38.3,3.2,40.1,3.8
10497,6TGB,D,19.7,4.9,34.1,2.1
10497,6TGB,B,39.9,7.0,41.8,6.0
23517,7LTO,A,76.0,39.1,88.8,49.1
23517,7LTO,B,59.2,7.1,75.6,31.1
26978,8CT2,A,77.6,65.4,80.5,77.8
26978,8CT2,D,77.2,77.9,74.0,65.9
26978,8CT2,C,78.9,61.3,64.6,84.9
26978,8CT2,B,86.2,81.6,67.9,62.9
31722,7V5C,A,78.3,33.9,81.8,66.5
31722,7V5C,B,56.1,38.6,92.7,75.3
30664,7DFH,A,80.2,42.3,83.3,52.9
30664,7DFH,G,60.4,6.2,77.4,8.5
30664,7DFH,C,100.0,96.8,96.8,98.4
30664,7DFH,B,83.3,25.3,91.2,76.0
30342,7CEC,A,15.6,5.8,40.0,4.5
30342,7CEC,F,27.5,8.5,61.4,2.9
30342,7CEC,D,38.3,11.1,44.7,9.5
30342,7CEC,G,56.9,4.4,46.9,6.7
30342,7CEC,C,22.3,9.4,37.3,6.1
30342,7CEC,B,26.9,4.3,45.9,5.1
30342,7CEC,H,23.0,7.1,29.5,11.1
30342,7CEC,I,38.6,13.0,28.6,17.5
25442,7SUN,A,77.9,45.8,85.5,51.8
25442,7SUN,B,83.0,51.1,80.0,45.6
22884,7KI4,A,90.8,70.5,94.6,69.3
22884,7KI4,F,83.8,2.3,97.1,11.8
22884,7KI4,D,89.7,67.6,94.0,72.7
22884,7KI4,E,92.9,6.7,81.9,6.3
22884,7KI4,G,79.5,74.2,93.2,65.1
22884,7KI4,C,77.1,9.9,94.3,5.1
22884,7KI4,B,75.2,8.0,97.1,6.2
22884,7KI4,H,83.8,61.2,96.6,83.2
22884,7KI4,L,59.0,45.2,90.5,42.1
31456,7F53,R,66.7,52.7,78.8,37.2
31456,7F53,A,59.5,39.3,70.5,38.8
31456,7F53,G,86.0,44.9,93.0,43.4
31456,7F53,B,83.7,30.0,81.4,41.1
31456,7F53,N,50.8,14.1,87.3,72.7
31456,7F53,L,61.5,25.0,76.9,90.0
7113,6BLY,A,70.6,33.7,84.3,50.3
7113,6BLY,B,71.3,24.7,64.7,39.1
24241,7N8P,A,80.7,73.6,90.9,65.8
24241,7N8P,B,87.1,66.6,93.6,61.0
22189,6XI0,R,30.9,62.5,38.1,42.0
22189,6XI0,D,75.3,46.3,79.6,72.7
22189,6XI0,E,26.0,10.6,24.3,9.1
22189,6XI0,C,79.2,8.4,91.7,7.5
22189,6XI0,Q,76.2,42.5,77.0,63.0
22189,6XI0,P,66.4,69.8,90.3,74.1
32765,7WSR,A,75.3,41.8,85.2,71.2
32765,7WSR,B,76.8,43.6,67.7,83.0
32509,7WHR,A,53.6,42.6,70.9,15.9
32509,7WHR,F,48.6,8.5,69.0,23.5
32509,7WHR,D,42.0,10.5,66.2,17.0
32509,7WHR,E,50.8,8.6,70.6,31.9
32509,7WHR,C,48.9,34.3,71.4,13.1
32509,7WHR,B,50.3,24.0,75.5,16.0
24784,7S05,A,64.1,16.8,84.0,49.6
24784,7S05,B,78.0,42.5,77.1,77.4
23740,7MBP,C,73.3,79.6,82.9,76.6
23740,7MBP,B,73.0,67.1,86.3,71.6
9971,6KFF,A,82.0,68.2,84.5,51.8
9971,6KFF,F,82.3,62.6,87.6,70.6
9971,6KFF,D,75.8,44.3,87.3,68.3
9971,6KFF,E,76.1,55.9,85.1,66.1
9971,6KFF,G,80.7,44.2,82.3,61.1
9971,6KFF,C,63.0,51.2,70.5,83.7
9971,6KFF,B,77.6,40.8,87.0,74.6
9971,6KFF,H,79.2,45.5,87.9,79.9
3984,6EZ8,B,94.4,86.2,94.0,52.8
32328,7W6K,A,68.5,16.4,82.2,19.3
32328,7W6K,B,74.4,21.6,80.2,32.5
4032,5LC5,F,33.2,5.0,60.2,3.9
4032,5LC5,D,42.3,5.0,74.9,16.3
4032,5LC5,W,87.4,9.3,82.9,30.4
4032,5LC5,S,36.2,10.3,60.0,6.2
4032,5LC5,b,75.0,10.0,53.8,7.0
4032,5LC5,d,71.9,13.4,88.6,4.0
4032,5LC5,E,71.5,11.3,76.3,9.9
4032,5LC5,p,82.8,25.0,78.1,3.0
4032,5LC5,K,93.7,94.4,91.6,88.5
4032,5LC5,G,15.0,2.9,42.8,3.4
4032,5LC5,q,71.0,7.1,64.5,14.6
4032,5LC5,C,69.9,5.6,70.9,14.4
4032,5LC5,e,70.8,12.7,60.7,3.7
4032,5LC5,o,93.1,66.7,87.9,5.9
4032,5LC5,T,72.0,3.7,76.0,5.3
