EMDB ID,Entry ID,Chain ID,count Deposited,RMSD Deposited,Coverage Deposited,Sequence Match Deposited,count CryoTEN,RMSD CryoTEN,Coverage CryoTEN,Sequence Match CryoTEN
23517,7LTO,B,144.0,1.48,41.6,12.1,128.0,2.17,88.2,3.8
31722,7V5C,B,144.0,1.52,87.6,7.2,144.0,1.56,94.1,8.6
31722,7V5C,A,144.0,1.49,88.6,6.1,144.0,1.57,91.4,7.8
30664,7DFH,B,109.0,1.65,81.6,6.5,108.0,1.73,94.7,14.8
30342,7CEC,C,103.0,2.04,58.5,6.0,144.0,2.03,56.6,6.2
22884,7KI4,C,100.0,1.63,91.4,10.4,108.0,2.05,100.0,8.6
22884,7KI4,B,126.0,1.11,46.4,6.2,108.0,1.15,46.2,6.8
7113,6BLY,B,144.0,1.74,91.7,7.5,144.0,1.75,98.6,3.4
32765,7WSR,B,144.0,1.34,70.7,7.1,144.0,1.46,82.0,17.3
13953,7QG9,M,120.0,1.69,77.9,6.4,121.0,2.25,92.1,4.7
13953,7QG9,H,143.0,1.19,93.3,50.4,108.0,1.16,93.6,47.7
26838,7UWQ,C,144.0,1.36,89.6,6.7,108.0,1.39,86.6,55.5
26838,7UWQ,B,144.0,1.38,88.5,17.2,131.0,1.4,90.8,48.6
33619,7Y5G,B,137.0,1.63,20.9,9.5,144.0,1.75,80.5,7.4
33619,7Y5G,A,134.0,1.56,63.9,4.7,140.0,1.75,78.1,7.6
22278,6XOS,A,143.0,1.9,68.9,6.0,144.0,1.69,72.6,7.1
17240,8OWN,C,126.0,1.33,89.3,12.0,140.0,1.32,88.0,36.3
17240,8OWN,B,137.0,1.27,89.5,40.6,144.0,1.33,90.2,40.5
17240,8OWN,F,106.0,1.3,91.7,48.9,136.0,1.31,90.2,51.1
7076,6BBM,C,144.0,1.81,59.6,7.0,144.0,1.82,66.0,6.4
27630,8DP5,C,144.0,1.32,77.8,5.0,144.0,1.25,87.0,10.5
27630,8DP5,B,144.0,1.72,29.9,16.0,144.0,1.85,71.9,8.7
23970,7MSW,A,144.0,1.74,70.4,6.9,144.0,1.68,73.9,6.2
29644,8G04,C,144.0,1.74,33.0,9.2,144.0,2.02,68.0,6.0
29644,8G04,B,144.0,1.69,36.5,6.2,144.0,2.03,66.5,11.0
4936,6RMG,B,109.0,1.8,96.0,11.8,144.0,1.8,92.0,5.8
9832,6JI1,C,141.0,2.04,57.1,10.2,144.0,2.06,64.7,8.7
