Entry ID,EMDB Map,split
7L85,EMD-23222,test
8IDC,EMD-35363,test
6WW2,EMD-21927,test
6BBM,EMD-7076,test
7UWF,EMD-26831,test
7AEB,EMD-11743,test
8DP5,EMD-27630,test
7KZX,EMD-23092,test
7PK9,EMD-13456,test
7Q97,EMD-13867,test
7VGI,EMD-31970,test
6KNB,EMD-0723,test
6TAP,EMD-10423,test
7MSW,EMD-23970,test
7POG,EMD-13574,test
6TGB,EMD-10497,test
7LTO,EMD-23517,test
8CT2,EMD-26978,test
7V5C,EMD-31722,test
7DFH,EMD-30664,test
7CEC,EMD-30342,test
7SUN,EMD-25442,test
7KI4,EMD-22884,test
7F53,EMD-31456,test
6BLY,EMD-7113,test
7N8P,EMD-24241,test
6XI0,EMD-22189,test
7WSR,EMD-32765,test
7WHR,EMD-32509,test
7S05,EMD-24784,test
7MBP,EMD-23740,test
6KFF,EMD-9971,test
6EZ8,EMD-3984,test
7W6K,EMD-32328,test
5LC5,EMD-4032,test
7UUY,EMD-26806,test
6LW1,EMD-30002,test
6SJ7,EMD-10213,test
6P07,EMD-20226,test
6UZ2,EMD-20950,test
6T8B,EMD-10399,test
7BG4,EMD-12170,test
7ZZZ,EMD-15042,test
7XK3,EMD-33242,test
7DOK,EMD-30795,test
7ZOL,EMD-14847,test
8GY3,EMD-34369,test
6YGH,EMD-10800,test
5W3L,EMD-8761,test
3JC6,EMD-6534,test
8AN3,EMD-15531,test
7WLK,EMD-32586,test
6X6C,EMD-22075,test
6SK7,EMD-10222,test
6JI1,EMD-9832,test
7LOK,EMD-23465,test
6LAT,EMD-0863,test
7MO7,EMD-23919,test
7X1G,EMD-32940,test
7PTY,EMD-13643,test
6RID,EMD-4889,test
7KF7,EMD-22845,test
6P9Y,EMD-20278,test
7USW,EMD-26741,test
8E4M,EMD-27892,test
6VXO,EMD-21446,test
8VD4,EMD-43142,test
7NNT,EMD-12483,test
6O0H,EMD-0567,test
7U5I,EMD-26351,test
6KG7,EMD-9975,test
6HRA,EMD-0257,test
7KNA,EMD-22937,test
6TQE,EMD-10549,test
7JIC,EMD-22344,test
7YXX,EMD-14368,test
7AI7,EMD-11793,test
8IHQ,EMD-35452,test
7UWQ,EMD-26838,test
7V07,EMD-26940,test
8IF8,EMD-35410,test
7Y5G,EMD-33619,test
6KLS,EMD-0716,test
7M18,EMD-23615,test
6XOS,EMD-22278,test
8OWN,EMD-17240,test
8T1F,EMD-40962,test
8HMF,EMD-34898,test
6B40,EMD-7046,test
8GTN,EMD-34258,test
7QG9,EMD-13953,test
7AHD,EMD-11783,test
8GZP,EMD-34400,test
7M5X,EMD-23684,test
6M6A,EMD-30117,test
3JBX,EMD-6487,test
6QB8,EMD-4489,test
7BTW,EMD-30189,test
6SZA,EMD-10351,test
8EOA,EMD-28332,test
6I2T,EMD-4400,test
7OIK,EMD-12931,test
5A33,EMD-3014,test
7DN5,EMD-30781,test
7ZQ8,EMD-14866,test
7O4H,EMD-12718,test
8DTF,EMD-27696,test
7AD3,EMD-11720,test
8QJX,EMD-18453,test
7F6G,EMD-31479,test
7SSV,EMD-25414,test
6JPB,EMD-9869,test
7T8T,EMD-25745,test
7JHJ,EMD-22338,test
6XTX,EMD-10619,test
7XE0,EMD-33153,test
6WH3,EMD-21667,test
7P16,EMD-13157,test
7L7J,EMD-23214,test
6N06,EMD-9311,test
5AC9,EMD-3129,test
8G04,EMD-29644,test
6W17,EMD-21502,test
8AUK,EMD-15672,test
6OIS,EMD-20080,test
7SQY,EMD-25397,test
8BRI,EMD-16215,test
6SWY,EMD-10333,test
7N8Y,EMD-24249,test
8JHU,EMD-36294,test
6RMG,EMD-4936,test
7LWY,EMD-23560,test
8FTK,EMD-29439,test
6E15,EMD-8954,test
7PQ5,EMD-13587,test
7YQM,EMD-34029,test
8HW1,EMD-35080,test
6AUI,EMD-7006,test
8QEC,EMD-18351,test
6R8F,EMD-4759,test
8CL0,EMD-16708,test
6W5R,EMD-21545,test
6D6V,EMD-7821,test
7VT0,EMD-32117,test
7XUH,EMD-33469,test
7Z0T,EMD-14430,test
8EMH,EMD-28248,test
7PE1,EMD-13344,test
8P98,EMD-17575,test
7YTJ,EMD-34090,test
